"Entrez.ID","Symbol","Name","Gene.Family","Type","ENSEMBL.ID"
11004,"KIF2C","kinesin family member 2C","Kinesins","landmark","ENSG00000142945"
11007,"CCDC85B","coiled-coil domain containing 85B","","landmark","ENSG00000175602"
11011,"TLK2","tousled like kinase 2","","landmark","ENSG00000146872"
11014,"KDELR2","KDEL endoplasmic reticulum protein retention receptor 2","","landmark","ENSG00000136240"
63933,"MCUR1","mitochondrial calcium uniporter regulator 1","","landmark","ENSG00000050393"
23097,"CDK19","cyclin dependent kinase 19","Cyclin dependent kinases, Mediator complex","landmark","ENSG00000155111"
3725,"JUN","Jun proto-oncogene, AP-1 transcription factor subunit","Basic leucine zipper proteins, Jun transcription factor family","landmark","ENSG00000177606"
23061,"TBC1D9B","TBC1 domain family member 9B","EF-hand domain containing, GRAM domain containing","landmark","ENSG00000197226"
11098,"PRSS23","protease, serine 23","Proteases, serine","landmark","ENSG00000150687"
23076,"RRP1B","ribosomal RNA processing 1B","Protein phosphatase 1 regulatory subunits","landmark","ENSG00000160208"
23077,"MYCBP2","MYC binding protein 2, E3 ubiquitin protein ligase","","landmark","ENSG00000005810"
1111,"CHEK1","checkpoint kinase 1","","landmark","ENSG00000149554"
3775,"KCNK1","potassium two pore domain channel subfamily K member 1","Potassium two pore domain channel subfamily K","landmark","ENSG00000135750"
1123,"CHN1","chimerin 1","Rho GTPase activating proteins, SH2 domain containing","landmark","ENSG00000128656"
1153,"CIRBP","cold inducible RNA binding protein","RNA binding motif containing","landmark","ENSG00000099622"
50810,"HDGFRP3","hepatoma-derived growth factor, related protein 3","","landmark","ENSG00000166503"
50813,"COPS7A","COP9 signalosome subunit 7A","COP9 signalosome","landmark","ENSG00000111652"
50814,"NSDHL","NAD(P) dependent steroid dehydrogenase-like","Short chain dehydrogenase/reductase superfamily","landmark","ENSG00000147383"
23200,"ATP11B","ATPase phospholipid transporting 11B (putative)","ATPase phospholipid transporting","landmark","ENSG00000058063"
11230,"PRAF2","PRA1 domain family member 2","YIP family","landmark","ENSG00000243279"
23210,"JMJD6","arginine demethylase and lysine hydroxylase","","landmark","ENSG00000070495"
23212,"RRS1","ribosome biogenesis regulator homolog","","landmark","ENSG00000179041"
25874,"MPC2","mitochondrial pyruvate carrier 2","","landmark","ENSG00000143158"
84159,"ARID5B","AT-rich interaction domain 5B","AT-rich interaction domain containing","landmark","ENSG00000150347"
11232,"POLG2","DNA polymerase gamma 2, accessory subunit","DNA polymerases","landmark","ENSG00000256525"
11200,"CHEK2","checkpoint kinase 2","","landmark","ENSG00000183765"
25825,"BACE2","beta-site APP-cleaving enzyme 2","","landmark","ENSG00000182240"
25839,"COG4","component of oligomeric golgi complex 4","Components of oligomeric golgi complex","landmark","ENSG00000103051"
25803,"SPDEF","SAM pointed domain containing ETS transcription factor","ETS transcription factor family","landmark","ENSG00000124664"
25805,"BAMBI","BMP and activin membrane bound inhibitor","","landmark","ENSG00000095739"
200734,"SPRED2","sprouty related EVH1 domain containing 2","","landmark","ENSG00000198369"
11182,"SLC2A6","solute carrier family 2 member 6","Solute carriers","landmark","ENSG00000160326"
23161,"SNX13","sorting nexin 13","Sorting nexins","landmark","ENSG00000071189"
11188,"NISCH","nischarin","","landmark","ENSG00000010322"
16,"AARS","alanyl-tRNA synthetase","Aminoacyl tRNA synthetases, Class II","landmark","ENSG00000090861"
23,"ABCF1","ATP binding cassette subfamily F member 1","ATP binding cassette subfamily F","landmark","ENSG00000204574"
25,"ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","SH2 domain containing","landmark","ENSG00000097007"
23149,"FCHO1","FCH domain only 1","F-BAR domain containing","landmark","ENSG00000130475"
23142,"DCUN1D4","defective in cullin neddylation 1 domain containing 4","","landmark","ENSG00000109184"
11168,"PSIP1","PC4 and SFRS1 interacting protein 1","PWWP domain containing","landmark","ENSG00000164985"
30,"ACAA1","acetyl-CoA acyltransferase 1","","landmark","ENSG00000060971"
39,"ACAT2","acetyl-CoA acetyltransferase 2","","landmark","ENSG00000120437"
47,"ACLY","ATP citrate lyase","","landmark","ENSG00000131473"
11142,"PKIG","cAMP-dependent protein kinase inhibitor gamma","","landmark","ENSG00000168734"
11151,"CORO1A","coronin 1A","WD repeat domain containing, Coronins","landmark","ENSG00000102879"
23139,"MAST2","microtubule associated serine/threonine kinase 2","PDZ domain containing","landmark","ENSG00000086015"
23131,"GPATCH8","G-patch domain containing 8","G-patch domain containing","landmark","ENSG00000186566"
25793,"FBXO7","F-box protein 7","F-boxes other, Parkinson disease associated genes","landmark","ENSG00000100225"
11157,"LSM6","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated","","landmark","ENSG00000164167"
11137,"PWP1","PWP1 homolog, endonuclein","WD repeat domain containing","landmark","ENSG00000136045"
3800,"KIF5C","kinesin family member 5C","Kinesins","landmark","ENSG00000168280"
3815,"KIT","KIT proto-oncogene receptor tyrosine kinase","Receptor Tyrosine Kinases, CD molecules, Immunoglobulin like domain containing","landmark","ENSG00000157404"
2523,"FUT1","fucosyltransferase 1 (H blood group)","Fucosyltransferases, Blood group antigens","landmark","ENSG00000174951"
2534,"FYN","FYN proto-oncogene, Src family tyrosine kinase","SH2 domain containing, Src family tyrosine kinases","landmark","ENSG00000010810"
2548,"GAA","glucosidase alpha, acid","","landmark","ENSG00000171298"
1213,"CLTC","clathrin heavy chain","","landmark","ENSG00000141367"
1212,"CLTB","clathrin light chain B","","landmark","ENSG00000175416"
2542,"SLC37A4","solute carrier family 37 member 4","Solute carriers","landmark","ENSG00000137700"
2553,"GABPB1","GA binding protein transcription factor beta subunit 1","Ankyrin repeat domain containing","landmark","ENSG00000104064"
3895,"KTN1","kinectin 1","","landmark","ENSG00000126777"
2582,"GALE","UDP-galactose-4-epimerase","Short chain dehydrogenase/reductase superfamily","landmark","ENSG00000117308"
2597,"GAPDH","glyceraldehyde-3-phosphate dehydrogenase","","landmark","ENSG00000111640"
1282,"COL4A1","collagen type IV alpha 1 chain","Collagens","landmark","ENSG00000187498"
1277,"COL1A1","collagen type I alpha 1 chain","Collagens","landmark","ENSG00000108821"
23321,"TRIM2","tripartite motif containing 2","Ring finger proteins, Tripartite motif containing","landmark","ENSG00000109654"
25987,"TSKU","tsukushi, small leucine rich proteoglycan","","landmark","ENSG00000182704"
23325,"WASHC4","WASH complex subunit 4","WASH complex","landmark","ENSG00000136051"
23326,"USP22","ubiquitin specific peptidase 22","Ubiquitin specific peptidases, SAGA complex","landmark","ENSG00000124422"
10013,"HDAC6","histone deacetylase 6","Protein phosphatase 1 regulatory subunits, Histone deacetylases, class IIB","landmark","ENSG00000094631"
11344,"TWF2","twinfilin actin binding protein 2","","landmark","ENSG00000247596"
23335,"WDR7","WD repeat domain 7","WD repeat domain containing","landmark","ENSG00000091157"
23338,"JADE2","jade family PHD finger 2","PHD finger proteins","landmark","ENSG00000043143"
23300,"ATMIN","ATM interactor","Zinc fingers C2H2-type","landmark","ENSG00000166454"
25966,"C2CD2","C2 calcium dependent domain containing 2","C2 domain containing","landmark","ENSG00000157617"
11325,"DDX42","DEAD-box helicase 42","DEAD-box helicases","landmark","ENSG00000198231"
25976,"TIPARP","TCDD inducible poly(ADP-ribose) polymerase","Poly(ADP-ribose) polymerases","landmark","ENSG00000163659"
10007,"GNPDA1","glucosamine-6-phosphate deaminase 1","","landmark","ENSG00000113552"
11319,"ECD","ecdysoneless cell cycle regulator","","landmark","ENSG00000122882"
25932,"CLIC4","chloride intracellular channel 4","Chloride intracellular channels","landmark","ENSG00000169504"
11284,"PNKP","polynucleotide kinase 3'-phosphatase","HAD Asp-based non-protein phosphatases","landmark","ENSG00000039650"
23271,"CAMSAP2","calmodulin regulated spectrin associated protein family member 2","","landmark","ENSG00000118200"
11261,"CHP1","calcineurin like EF-hand protein 1","EF-hand domain containing","landmark","ENSG00000187446"
23244,"PDS5A","PDS5 cohesin associated factor A","","landmark","ENSG00000121892"
23223,"RRP12","ribosomal RNA processing 12 homolog","","landmark","ENSG00000052749"
23224,"SYNE2","spectrin repeat containing nuclear envelope protein 2","Spectrin repeat containing nuclear envelope family","landmark","ENSG00000054654"
3909,"LAMA3","laminin subunit alpha 3","Laminin subunits","landmark","ENSG00000053747"
3925,"STMN1","stathmin 1","Stathmins","landmark","ENSG00000117632"
3930,"LBR","lamin B receptor","Tudor domain containing","landmark","ENSG00000143815"
50865,"HEBP1","heme binding protein 1","Endogenous ligands","landmark","ENSG00000013583"
2625,"GATA3","GATA binding protein 3","GATA zinc finger domain containing","landmark","ENSG00000107485"
2624,"GATA2","GATA binding protein 2","GATA zinc finger domain containing","landmark","ENSG00000179348"
3964,"LGALS8","galectin 8","Galectins","landmark","ENSG00000116977"
3978,"LIG1","DNA ligase 1","DNA ligases, Nucleotide excision repair","landmark","ENSG00000105486"
3988,"LIPA","lipase A, lysosomal acid type","Lipases","landmark","ENSG00000107798"
2673,"GFPT1","glutamine--fructose-6-phosphate transaminase 1","","landmark","ENSG00000198380"
2690,"GHR","growth hormone receptor","Fibronectin type III domain containing","landmark","ENSG00000112964"
1385,"CREB1","cAMP responsive element binding protein 1","Basic leucine zipper proteins","landmark","ENSG00000118260"
116832,"RPL39L","ribosomal protein L39 like","L ribosomal proteins","landmark","ENSG00000163923"
1399,"CRKL","CRK like proto-oncogene, adaptor protein","SH2 domain containing","landmark","ENSG00000099942"
1398,"CRK","CRK proto-oncogene, adaptor protein","SH2 domain containing","landmark","ENSG00000167193"
23443,"SLC35A3","solute carrier family 35 member A3","Solute carriers","landmark","ENSG00000117620"
10131,"TRAP1","TNF receptor associated protein 1","Heat shock 90kDa proteins","landmark","ENSG00000126602"
10146,"G3BP1","G3BP stress granule assembly factor 1","RNA binding motif containing","landmark","ENSG00000145907"
10112,"KIF20A","kinesin family member 20A","Kinesins","landmark","ENSG00000112984"
10123,"ARL4C","ADP ribosylation factor like GTPase 4C","ARF GTPase family","landmark","ENSG00000188042"
23410,"SIRT3","sirtuin 3","Sirtuins","landmark","ENSG00000142082"
10099,"TSPAN3","tetraspanin 3","Tetraspanins","landmark","ENSG00000140391"
23386,"NUDCD3","NudC domain containing 3","NudC family","landmark","ENSG00000015676"
10051,"SMC4","structural maintenance of chromosomes 4","Structural maintenance of chromosomes proteins","landmark","ENSG00000113810"
23365,"ARHGEF12","Rho guanine nucleotide exchange factor 12","Rho guanine nucleotide exchange factors, PDZ domain containing","landmark","ENSG00000196914"
23368,"PPP1R13B","protein phosphatase 1 regulatory subunit 13B","Ankyrin repeat domain containing, Protein phosphatase 1 regulatory subunits","landmark","ENSG00000088808"
10057,"ABCC5","ATP binding cassette subfamily C member 5","ATP binding cassette subfamily C","landmark","ENSG00000114770"
10059,"DNM1L","dynamin 1 like","","landmark","ENSG00000087470"
10058,"ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group)","Blood group antigens, ATP binding cassette subfamily B","landmark","ENSG00000115657"
23378,"RRP8","ribosomal RNA processing 8, methyltransferase, homolog (yeast)","Seven-beta-strand methyltransferase motif containing","landmark","ENSG00000132275"
10038,"PARP2","poly(ADP-ribose) polymerase 2","Poly(ADP-ribose) polymerases","landmark","ENSG00000129484"
10046,"MAMLD1","mastermind like domain containing 1","","landmark","ENSG00000013619"
10049,"DNAJB6","DnaJ heat shock protein family (Hsp40) member B6","DNAJ (HSP40) heat shock proteins","landmark","ENSG00000105993"
2736,"GLI2","GLI family zinc finger 2","Zinc fingers C2H2-type","landmark","ENSG00000074047"
2745,"GLRX","glutaredoxin","","landmark","ENSG00000173221"
1429,"CRYZ","crystallin zeta","","landmark","ENSG00000116791"
2771,"GNAI2","G protein subunit alpha i2","","landmark","ENSG00000114353"
2770,"GNAI1","G protein subunit alpha i1","","landmark","ENSG00000127955"
2767,"GNA11","G protein subunit alpha 11","","landmark","ENSG00000088256"
2769,"GNA15","G protein subunit alpha 15","","landmark","ENSG00000060558"
2778,"GNAS","GNAS complex locus","Granins","landmark","ENSG00000087460"
1445,"CSK","CSK, non-receptor tyrosine kinase","SH2 domain containing","landmark","ENSG00000103653"
1459,"CSNK2A2","casein kinase 2 alpha 2","","landmark","ENSG00000070770"
1454,"CSNK1E","casein kinase 1 epsilon","","landmark","ENSG00000213923"
1452,"CSNK1A1","casein kinase 1 alpha 1","","landmark","ENSG00000113712"
1465,"CSRP1","cysteine and glycine rich protein 1","LIM domain containing","landmark","ENSG00000159176"
10237,"SLC35B1","solute carrier family 35 member B1","Solute carriers","landmark","ENSG00000121073"
10245,"TIMM17B","translocase of inner mitochondrial membrane 17B","","landmark","ENSG00000126768"
23522,"KAT6B","lysine acetyltransferase 6B","Zinc fingers C2HC-type, PHD finger proteins, Lysine acetyltransferases","landmark","ENSG00000156650"
23530,"NNT","nicotinamide nucleotide transhydrogenase","","landmark","ENSG00000112992"
23536,"ADAT1","adenosine deaminase, tRNA specific 1","Adenosine deaminases acting on RNA","landmark","ENSG00000065457"
10227,"MFSD10","major facilitator superfamily domain containing 10","","landmark","ENSG00000109736"
10221,"TRIB1","tribbles pseudokinase 1","","landmark","ENSG00000173334"
23512,"SUZ12","SUZ12 polycomb repressive complex 2 subunit","Zinc fingers C2H2-type, Polycomb repressive complex 2","landmark","ENSG00000178691"
10206,"TRIM13","tripartite motif containing 13","Ring finger proteins, Tripartite motif containing","landmark","ENSG00000204977"
10190,"TXNDC9","thioredoxin domain containing 9","","landmark","ENSG00000115514"
60493,"FASTKD5","FAST kinase domains 5","","landmark","ENSG00000215251"
10174,"SORBS3","sorbin and SH3 domain containing 3","","landmark","ENSG00000120896"
10180,"RBM6","RNA binding motif protein 6","G-patch domain containing, RNA binding motif containing","landmark","ENSG00000004534"
23499,"MACF1","microtubule-actin crosslinking factor 1","EF-hand domain containing, Plakins","landmark","ENSG00000127603"
10150,"MBNL2","muscleblind like splicing regulator 2","Zinc fingers CCCH-type","landmark","ENSG00000139793"
23463,"ICMT","isoprenylcysteine carboxyl methyltransferase","","landmark","ENSG00000116237"
10153,"CEBPZ","CCAAT/enhancer binding protein zeta","CCAAT/enhancer binding proteins","landmark","ENSG00000115816"
2810,"SFN","stratifin","14-3-3 phospho-serine/phospho-threonine binding proteins","landmark","ENSG00000175793"
10165,"SLC25A13","solute carrier family 25 member 13","Solute carriers, EF-hand domain containing","landmark","ENSG00000004864"
2817,"GPC1","glypican 1","Glypicans","landmark","ENSG00000063660"
1500,"CTNND1","catenin delta 1","Armadillo repeat containing","landmark","ENSG00000198561"
1509,"CTSD","cathepsin D","Cathepsins","landmark","ENSG00000117984"
1514,"CTSL","cathepsin L","Cathepsins","landmark","ENSG00000135047"
2852,"GPER1","G protein-coupled estrogen receptor 1","G protein-coupled estrogen receptor","landmark","ENSG00000164850"
1534,"CYB561","cytochrome b561","Cytochrome b561","landmark","ENSG00000008283"
2887,"GRB10","growth factor receptor bound protein 10","Pleckstrin homology domain containing, SH2 domain containing","landmark","ENSG00000106070"
2886,"GRB7","growth factor receptor bound protein 7","Pleckstrin homology domain containing, SH2 domain containing","landmark","ENSG00000141738"
2896,"GRN","granulin precursor","","landmark","ENSG00000030582"
23670,"TMEM2","transmembrane protein 2","","landmark","ENSG00000135048"
10362,"HMG20B","high mobility group 20B","Non-canonical high mobility group","landmark","ENSG00000064961"
23647,"ARFIP2","ADP ribosylation factor interacting protein 2","Classical BAR domain containing","landmark","ENSG00000132254"
23658,"LSM5","LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated","","landmark","ENSG00000106355"
23659,"PLA2G15","phospholipase A2 group XV","Phospholipases","landmark","ENSG00000103066"
10318,"TNIP1","TNFAIP3 interacting protein 1","","landmark","ENSG00000145901"
23636,"NUP62","nucleoporin 62","Nucleoporins","landmark","ENSG00000213024"
23635,"SSBP2","single stranded DNA binding protein 2","","landmark","ENSG00000145687"
10329,"TMEM5","transmembrane protein 5","","landmark","ENSG00000118600"
10320,"IKZF1","IKAROS family zinc finger 1","Zinc fingers C2H2-type, Protein phosphatase 1 regulatory subunits","landmark","ENSG00000185811"
2908,"NR3C1","nuclear receptor subfamily 3 group C member 1","Nuclear hormone receptors","landmark","ENSG00000113580"
10298,"PAK4","p21 (RAC1) activated kinase 4","","landmark","ENSG00000130669"
10270,"AKAP8","A-kinase anchoring protein 8","A-kinase anchoring proteins","landmark","ENSG00000105127"
10273,"STUB1","STIP1 homology and U-box containing protein 1","U-box domain containing, Tetratricopeptide repeat domain containing","landmark","ENSG00000103266"
23585,"TMEM50A","transmembrane protein 50A","","landmark","ENSG00000183726"
23588,"KLHDC2","kelch domain containing 2","","landmark","ENSG00000165516"
2920,"CXCL2","C-X-C motif chemokine ligand 2","Chemokine ligands, Endogenous ligands","landmark","ENSG00000081041"
10276,"NET1","neuroepithelial cell transforming 1","Pleckstrin homology domain containing, Rho guanine nucleotide exchange factors","landmark","ENSG00000173848"
23597,"ACOT9","acyl-CoA thioesterase 9","Acyl-CoA thioesterases","landmark","ENSG00000123130"
10285,"SMNDC1","survival motor neuron domain containing 1","Tudor domain containing","landmark","ENSG00000119953"
1605,"DAG1","dystroglycan 1","","landmark","ENSG00000173402"
1616,"DAXX","death domain associated protein","","landmark","ENSG00000204209"
2946,"GSTM2","glutathione S-transferase mu 2","Glutathione S-transferases","landmark","ENSG00000213366"
2954,"GSTZ1","glutathione S-transferase zeta 1","Glutathione S-transferases","landmark","ENSG00000100577"
2958,"GTF2A2","general transcription factor IIA subunit 2","General transcription factors","landmark","ENSG00000140307"
2956,"MSH6","mutS homolog 6","MutS homologs, PWWP domain containing","landmark","ENSG00000116062"
60528,"ELAC2","elaC ribonuclease Z 2","","landmark","ENSG00000006744"
1635,"DCTD","dCMP deaminase","","landmark","ENSG00000129187"
1633,"DCK","deoxycytidine kinase","","landmark","ENSG00000156136"
2961,"GTF2E2","general transcription factor IIE subunit 2","General transcription factors","landmark","ENSG00000197265"
1643,"DDB2","damage specific DNA binding protein 2","WD repeat domain containing, Xeroderma pigmentosum complementation groups, Nucleotide excision repair","landmark","ENSG00000134574"
1647,"GADD45A","growth arrest and DNA damage inducible alpha","","landmark","ENSG00000116717"
1666,"DECR1","2,4-dienoyl-CoA reductase 1","Short chain dehydrogenase/reductase superfamily","landmark","ENSG00000104325"
1662,"DDX10","DEAD-box helicase 10","DEAD-box helicases","landmark","ENSG00000178105"
1677,"DFFB","DNA fragmentation factor subunit beta","","landmark","ENSG00000169598"
1676,"DFFA","DNA fragmentation factor subunit alpha","","landmark","ENSG00000160049"
10491,"CRTAP","cartilage associated protein","","landmark","ENSG00000170275"
10493,"VAT1","vesicle amine transport 1","","landmark","ENSG00000108828"
10494,"STK25","serine/threonine kinase 25","STRIPAK complex","landmark","ENSG00000115694"
10489,"LRRC41","leucine rich repeat containing 41","","landmark","ENSG00000132128"
10451,"VAV3","vav guanine nucleotide exchange factor 3","Pleckstrin homology domain containing, Rho guanine nucleotide exchange factors, SH2 domain containing","landmark","ENSG00000134215"
10450,"PPIE","peptidylprolyl isomerase E","RNA binding motif containing, Cyclophilin peptidylprolyl isomerases","landmark","ENSG00000084072"
10434,"LYPLA1","lysophospholipase I","","landmark","ENSG00000120992"
10398,"MYL9","myosin light chain 9","Myosin light chains, EF-hand domain containing","landmark","ENSG00000101335"
1738,"DLD","dihydrolipoamide dehydrogenase","","landmark","ENSG00000091140"
84617,"TUBB6","tubulin beta 6 class V","Tubulins","landmark","ENSG00000176014"
1759,"DNM1","dynamin 1","Pleckstrin homology domain containing","landmark","ENSG00000106976"
57019,"CIAPIN1","cytokine induced apoptosis inhibitor 1","Seven-beta-strand methyltransferase motif containing","landmark","ENSG00000005194"
1788,"DNMT3A","DNA methyltransferase 3 alpha","PWWP domain containing","landmark","ENSG00000119772"
1786,"DNMT1","DNA methyltransferase 1","Zinc fingers CXXC-type, Seven-beta-strand methyltransferase motif containing","landmark","ENSG00000130816"
57048,"PLSCR3","phospholipid scramblase 3","Phospholipid scramblases","landmark","ENSG00000187838"
200081,"TXLNA","taxilin alpha","","landmark","ENSG00000084652"
10513,"APPBP2","amyloid beta precursor protein binding protein 2","","landmark","ENSG00000062725"
10525,"HYOU1","hypoxia up-regulated 1","Heat shock 70kDa proteins","landmark","ENSG00000149428"
10523,"CHERP","calcium homeostasis endoplasmic reticulum protein","G-patch domain containing","landmark","ENSG00000085872"
58533,"SNX6","sorting nexin 6","Sorting nexins, PX-BAR domain containing","landmark","ENSG00000129515"
57215,"THAP11","THAP domain containing 11","THAP domain containing","landmark","ENSG00000168286"
10589,"DRAP1","DR1 associated protein 1","","landmark","ENSG00000175550"
10557,"RPP38","ribonuclease P/MRP subunit p38","","landmark","ENSG00000152464"
10559,"SLC35A1","solute carrier family 35 member A1","Solute carriers","landmark","ENSG00000164414"
57192,"MCOLN1","mucolipin 1","Transient receptor potential cation channels","landmark","ENSG00000090674"
1802,"DPH2","DPH2 homolog","","landmark","ENSG00000132768"
1829,"DSG2","desmoglein 2","Desmosomal cadherins","landmark","ENSG00000046604"
1831,"TSC22D3","TSC22 domain family member 3","","landmark","ENSG00000157514"
1848,"DUSP6","dual specificity phosphatase 6","MAP kinase phosphatases","landmark","ENSG00000139318"
1846,"DUSP4","dual specificity phosphatase 4","MAP kinase phosphatases","landmark","ENSG00000120875"
1845,"DUSP3","dual specificity phosphatase 3","Atypical dual specificity phosphatases","landmark","ENSG00000108861"
84722,"PSRC1","proline and serine rich coiled-coil 1","","landmark","ENSG00000134222"
1861,"TOR1A","torsin family 1 member A","","landmark","ENSG00000136827"
1870,"E2F2","E2F transcription factor 2","E2F transcription factors","landmark","ENSG00000007968"
1891,"ECH1","enoyl-CoA hydratase 1","","landmark","ENSG00000104823"
58472,"SQRDL","sulfide quinone reductase-like (yeast)","","landmark","ENSG00000137767"
57149,"LYRM1","LYR motif containing 1","LYR motif containing","landmark","ENSG00000102897"
57147,"SCYL3","SCY1 like pseudokinase 3","SCY1 like pseudokinases","landmark","ENSG00000000457"
58478,"ENOPH1","enolase-phosphatase 1","HAD Asp-based non-protein phosphatases","landmark","ENSG00000145293"
58497,"PRUNE1","prune exopolyphosphatase 1","","landmark","ENSG00000143363"
57178,"ZMIZ1","zinc finger MIZ-type containing 1","Zinc fingers MIZ-type","landmark","ENSG00000108175"
10652,"YKT6","YKT6 v-SNARE homolog (S. cerevisiae)","SNAREs","landmark","ENSG00000106636"
10668,"CGRRF1","cell growth regulator with ring finger domain 1","Ring finger proteins","landmark","ENSG00000100532"
10641,"NPRL2","NPR2-like, GATOR1 complex subunit","GATOR1 subcomplex","landmark","ENSG00000114388"
10644,"IGF2BP2","insulin like growth factor 2 mRNA binding protein 2","RNA binding motif containing","landmark","ENSG00000073792"
10617,"STAMBP","STAM binding protein","","landmark","ENSG00000124356"
10610,"ST6GALNAC2","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2","Sialyltransferases","landmark","ENSG00000070731"
10606,"PAICS","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase","","landmark","ENSG00000128050"
10695,"CNPY3","canopy FGF signaling regulator 3","Trinucleotide repeat containing","landmark","ENSG00000137161"
10670,"RRAGA","Ras related GTP binding A","","landmark","ENSG00000155876"
10682,"EBP","emopamil binding protein (sterol isomerase)","","landmark","ENSG00000147155"
10681,"GNB5","G protein subunit beta 5","WD repeat domain containing","landmark","ENSG00000069966"
94239,"H2AFV","H2A histone family member V","Histones","landmark","ENSG00000105968"
1906,"EDN1","endothelin 1","Endogenous ligands","landmark","ENSG00000078401"
1950,"EGF","epidermal growth factor","","landmark","ENSG00000138798"
1958,"EGR1","early growth response 1","Zinc fingers C2H2-type","landmark","ENSG00000120738"
1956,"EGFR","epidermal growth factor receptor","Erb-b2 receptor tyrosine kinases","landmark","ENSG00000146648"
1978,"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","","landmark","ENSG00000187840"
1983,"EIF5","eukaryotic translation initiation factor 5","","landmark","ENSG00000100664"
1981,"EIF4G1","eukaryotic translation initiation factor 4 gamma 1","Parkinson disease associated genes","landmark","ENSG00000114867"
1994,"ELAVL1","ELAV like RNA binding protein 1","RNA binding motif containing","landmark","ENSG00000066044"
9019,"MPZL1","myelin protein zero like 1","V-set domain containing","landmark","ENSG00000197965"
9016,"SLC25A14","solute carrier family 25 member 14","Solute carriers","landmark","ENSG00000102078"
